# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 222K of event 'sched:sched_switch'
# Event count (approx.): 222876
#
# Overhead  Trace output                                            
# ........  ........................................................
#
    12.38%  cyclictest:32204 [120] R ==> kworker/u2:1:27770 [120]
    11.65%  .koworker:1019 [120] R ==> cyclictest:32205 [0]
    11.63%  .koworker:1016 [120] R ==> cyclictest:32205 [0]
    10.96%  cyclictest:32205 [0] S ==> .koworker:1019 [120]
    10.94%  cyclictest:32205 [0] S ==> .koworker:1016 [120]
     9.71%  kworker/u2:1:27770 [120] t ==> cyclictest:32204 [120]
     2.44%  cyclictest:32204 [120] S ==> sshd:27636 [120]
     2.28%  kworker/u2:1:27770 [120] t ==> ksoftirqd/0:7 [120]
     2.26%  ksoftirqd/0:7 [120] S ==> cyclictest:32204 [120]
     1.89%  sshd:27636 [120] S ==> .koworker:1014 [120]
     1.38%  cyclictest:32205 [0] S ==> ksoftirqd/0:7 [120]
     1.26%  .koworker:1014 [120] S ==> .koworker:1019 [120]
     1.26%  .koworker:1014 [120] S ==> .koworker:1016 [120]
     1.20%  .koworker:1019 [120] R ==> kworker/0:1:32113 [120]
     1.19%  .koworker:1016 [120] R ==> kworker/0:1:32113 [120]
     1.07%  kworker/0:1:32113 [120] t ==> .koworker:1016 [120]
     1.07%  cyclictest:32205 [0] S ==> cyclictest:32204 [120]
     1.06%  kworker/0:1:32113 [120] t ==> .koworker:1019 [120]
     1.05%  .koworker:1016 [120] R ==> cyclictest:32204 [120]
     1.05%  .koworker:1019 [120] R ==> cyclictest:32204 [120]
     0.89%  cyclictest:32204 [120] R ==> cyclictest:32205 [0]
     0.88%  sshd:27636 [120] R ==> cyclictest:32205 [0]
     0.84%  cyclictest:32205 [0] S ==> sshd:27636 [120]
     0.57%  ksoftirqd/0:7 [120] S ==> .koworker:1019 [120]
     0.54%  ksoftirqd/0:7 [120] S ==> .koworker:1016 [120]
     0.45%  sshd:27636 [120] S ==> cyclictest:32204 [120]
     0.36%  kworker/u2:1:27770 [120] t ==> sshd:27636 [120]
     0.27%  cyclictest:32205 [0] S ==> .koworker:1014 [120]
     0.25%  .koworker:1019 [120] R ==> .koworker:1014 [120]
     0.24%  kworker/u2:1:27770 [120] R ==> cyclictest:32205 [0]
     0.24%  cyclictest:32205 [0] S ==> kworker/u2:1:27770 [120]
     0.22%  sshd:27636 [120] S ==> .koworker:1019 [120]
     0.20%  .koworker:1016 [120] R ==> .koworker:1014 [120]
     0.19%  kworker/0:1:32113 [120] t ==> ksoftirqd/0:7 [120]
     0.19%  ksoftirqd/0:7 [120] S ==> sshd:27636 [120]
     0.17%  sshd:27636 [120] S ==> .koworker:1016 [120]
