pi_stress --duration=5 
04-06-2018 22:25:03

# tracer: function
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | /  _----=> need-resched_lazy
#                            || / _---=> hardirq/softirq
#                            ||| / _--=> preempt-depth
#                            |||| /     delay
#           TASK-PID   CPU#  |||||    TIMESTAMP  FUNCTION
#              | |       |   |||||       |         |
       ftrace.sh-2200  [000] ....... 182354.728344: _mutex_unlock <-rb_simple_write
       ftrace.sh-2200  [000] ....... 182354.728357: __rt_mutex_unlock <-_mutex_unlock
       ftrace.sh-2200  [000] ....... 182354.728359: __fsnotify_parent <-vfs_write
       ftrace.sh-2200  [000] ....... 182354.728360: fsnotify <-vfs_write
       ftrace.sh-2200  [000] ....... 182354.728362: __sb_end_write <-vfs_write
       ftrace.sh-2200  [000] ....... 182354.728363: preempt_count_add <-__sb_end_write
       ftrace.sh-2200  [000] ....1.. 182354.728365: preempt_count_sub <-__sb_end_write
       ftrace.sh-2200  [000] ....... 182354.728373: SyS_dup2 <-ret_fast_syscall
       ftrace.sh-2200  [000] ....... 182354.728374: SyS_dup3 <-SyS_dup2
       ftrace.sh-2200  [000] ....... 182354.728376: rt_spin_lock <-SyS_dup3
       ftrace.sh-2200  [000] ....... 182354.728377: expand_files <-SyS_dup3
       ftrace.sh-2200  [000] ....... 182354.728378: do_dup2 <-SyS_dup3
       ftrace.sh-2200  [000] ....... 182354.728380: rt_spin_unlock <-do_dup2
       ftrace.sh-2200  [000] ....... 182354.728381: filp_close <-do_dup2
       ftrace.sh-2200  [000] ....... 182354.728382: dnotify_flush <-filp_close
       ftrace.sh-2200  [000] ....... 182354.728383: locks_remove_posix <-filp_close
       ftrace.sh-2200  [000] ....... 182354.728384: fput <-filp_close
       ftrace.sh-2200  [000] ....... 182354.728386: task_work_add <-fput
       ftrace.sh-2200  [000] d...... 182354.728387: do_work_pending <-slow_work_pending
       ftrace.sh-2200  [000] ....... 182354.728389: task_work_run <-do_work_pending
       ftrace.sh-2200  [000] d...... 182354.728390: preempt_count_add <-task_work_run
       ftrace.sh-2200  [000] ....1.. 182354.728391: preempt_count_sub <-task_work_run
       ftrace.sh-2200  [000] ....... 182354.728392: ____fput <-task_work_run
       ftrace.sh-2200  [000] ....... 182354.728393: __fput <-____fput
       ftrace.sh-2200  [000] ....... 182354.728395: __fsnotify_parent <-__fput
       ftrace.sh-2200  [000] ....... 182354.728396: fsnotify <-__fput
       ftrace.sh-2200  [000] ....... 182354.728397: locks_remove_file <-__fput
       ftrace.sh-2200  [000] ....... 182354.728398: ima_file_free <-__fput
       ftrace.sh-2200  [000] ....... 182354.728400: _mutex_lock <-trace_array_put
       ftrace.sh-2200  [000] ....... 182354.728401: __rt_mutex_lock_state <-_mutex_lock
       ftrace.sh-2200  [000] ....... 182354.728402: _mutex_unlock <-trace_array_put
       ftrace.sh-2200  [000] ....... 182354.728403: __rt_mutex_unlock <-_mutex_unlock
       ftrace.sh-2200  [000] ....... 182354.728405: security_file_free <-__fput
       ftrace.sh-2200  [000] ....... 182354.728406: apparmor_file_free_security <-security_file_free
       ftrace.sh-2200  [000] ....... 182354.728407: kzfree <-apparmor_file_free_security
       ftrace.sh-2200  [000] ....... 182354.728409: ksize <-kzfree
       ftrace.sh-2200  [000] ....... 182354.728410: kfree <-kzfree
       ftrace.sh-2200  [000] ....... 182354.728412: module_put <-__fput
       ftrace.sh-2200  [000] ....... 182354.728413: put_pid <-__fput
       ftrace.sh-2200  [000] ....... 182354.728414: __mnt_drop_write <-__fput
       ftrace.sh-2200  [000] ....... 182354.728416: preempt_count_add <-__mnt_drop_write
       ftrace.sh-2200  [000] ....1.. 182354.728417: preempt_count_sub <-__mnt_drop_write
       ftrace.sh-2200  [000] ....... 182354.728418: preempt_count_add <-__fput
       ftrace.sh-2200  [000] ....1.. 182354.728420: preempt_count_sub <-__fput
       ftrace.sh-2200  [000] ....... 182354.728421: call_rcu <-__fput
       ftrace.sh-2200  [000] ....... 182354.728422: __call_rcu.constprop.27 <-call_rcu
       ftrace.sh-2200  [000] d...... 182354.728423: rcu_segcblist_enqueue <-__call_rcu.constprop.27
       ftrace.sh-2200  [000] ....... 182354.728425: dput <-__fput
       ftrace.sh-2200  [000] ....... 182354.728426: dput.part.7 <-dput
       ftrace.sh-2200  [000] ....... 182354.728427: __rcu_read_lock <-dput.part.7
       ftrace.sh-2200  [000] ....... 182354.728429: rt_spin_lock <-lockref_put_or_lock
       ftrace.sh-2200  [000] ....... 182354.728430: rt_spin_unlock <-lockref_put_or_lock
       ftrace.sh-2200  [000] ....... 182354.728431: __rcu_read_unlock <-dput.part.7
       ftrace.sh-2200  [000] ....... 182354.728432: mntput <-__fput
       ftrace.sh-2200  [000] ....... 182354.728433: mntput_no_expire <-mntput
       ftrace.sh-2200  [000] ....... 182354.728434: __rcu_read_lock <-mntput_no_expire
       ftrace.sh-2200  [000] ....... 182354.728436: preempt_count_add <-mntput_no_expire
       ftrace.sh-2200  [000] ....1.. 182354.728437: preempt_count_sub <-mntput_no_expire
       ftrace.sh-2200  [000] ....... 182354.728438: __rcu_read_unlock <-mntput_no_expire
       ftrace.sh-2200  [000] d...... 182354.728439: preempt_count_add <-task_work_run
       ftrace.sh-2200  [000] ....1.. 182354.728441: preempt_count_sub <-task_work_run
       ftrace.sh-2200  [000] ....... 182354.728442: mem_cgroup_handle_over_high <-do_work_pending
       ftrace.sh-2200  [000] ....... 182354.728444: SyS_fcntl64 <-ret_fast_syscall
       ftrace.sh-2200  [000] ....... 182354.728445: __fdget_raw <-SyS_fcntl64
       ftrace.sh-2200  [000] ....... 182354.728446: __fget_light <-__fdget_raw
       ftrace.sh-2200  [000] ....... 182354.728447: security_file_fcntl <-SyS_fcntl64
       ftrace.sh-2200  [000] ....... 182354.728449: do_fcntl <-SyS_fcntl64
       ftrace.sh-2200  [000] ....... 182354.728450: get_close_on_exec <-do_fcntl
       ftrace.sh-2200  [000] ....... 182354.728451: __rcu_read_lock <-get_close_on_exec
       ftrace.sh-2200  [000] ....... 182354.728452: __rcu_read_unlock <-get_close_on_exec
       ftrace.sh-2200  [000] ....... 182354.728456: SyS_close <-ret_fast_syscall
       ftrace.sh-2200  [000] ....... 182354.728457: __close_fd <-SyS_close
       ftrace.sh-2200  [000] ....... 182354.728458: rt_spin_lock <-__close_fd
       ftrace.sh-2200  [000] ....... 182354.728460: __put_unused_fd <-__close_fd
