# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 222K of event 'sched:sched_switch'
# Event count (approx.): 222900
#
# Overhead  Trace output                                            
# ........  ........................................................
#
    11.97%  .koworker:1019 [120] R ==> cyclictest:32353 [0]
    11.78%  .koworker:1016 [120] R ==> cyclictest:32353 [0]
    11.25%  cyclictest:32353 [0] S ==> .koworker:1019 [120]
    11.10%  cyclictest:32353 [0] S ==> .koworker:1016 [120]
     7.29%  cyclictest:32352 [120] R ==> kworker/u2:1:27770 [120]
     5.76%  kworker/u2:1:27770 [120] t ==> cyclictest:32352 [120]
     5.20%  cyclictest:32352 [120] R ==> kworker/u2:2:32364 [120]
     4.12%  kworker/u2:2:32364 [120] t ==> cyclictest:32352 [120]
     2.45%  cyclictest:32352 [120] S ==> sshd:27636 [120]
     2.40%  ksoftirqd/0:7 [120] S ==> cyclictest:32352 [120]
     2.11%  sshd:27636 [120] S ==> .koworker:1014 [120]
     1.46%  cyclictest:32353 [0] S ==> ksoftirqd/0:7 [120]
     1.34%  kworker/u2:1:27770 [120] t ==> ksoftirqd/0:7 [120]
     1.27%  .koworker:1014 [120] S ==> .koworker:1019 [120]
     1.25%  .koworker:1014 [120] S ==> .koworker:1016 [120]
     1.23%  .koworker:1019 [120] R ==> kworker/0:0:32281 [120]
     1.23%  .koworker:1016 [120] R ==> kworker/0:0:32281 [120]
     1.13%  kworker/0:0:32281 [120] t ==> .koworker:1019 [120]
     1.09%  kworker/0:0:32281 [120] t ==> .koworker:1016 [120]
     1.08%  .koworker:1019 [120] R ==> cyclictest:32352 [120]
     1.08%  .koworker:1016 [120] R ==> cyclictest:32352 [120]
     1.00%  cyclictest:32353 [0] S ==> cyclictest:32352 [120]
     0.95%  kworker/u2:2:32364 [120] t ==> ksoftirqd/0:7 [120]
     0.90%  sshd:27636 [120] R ==> cyclictest:32353 [0]
     0.90%  cyclictest:32352 [120] R ==> cyclictest:32353 [0]
     0.85%  cyclictest:32353 [0] S ==> sshd:27636 [120]
     0.61%  ksoftirqd/0:7 [120] S ==> .koworker:1019 [120]
     0.60%  ksoftirqd/0:7 [120] S ==> .koworker:1016 [120]
     0.35%  sshd:27636 [120] S ==> cyclictest:32352 [120]
     0.23%  cyclictest:32353 [0] S ==> .koworker:1014 [120]
     0.19%  kworker/u2:1:27770 [120] t ==> sshd:27636 [120]
     0.17%  .koworker:1014 [120] R ==> cyclictest:32353 [0]
     0.17%  kworker/0:0:32281 [120] t ==> ksoftirqd/0:7 [120]
     0.15%  .koworker:1016 [120] R ==> .koworker:1014 [120]
     0.15%  sshd:27636 [120] S ==> .koworker:1016 [120]
     0.14%  kworker/0:0:32281 [120] t ==> cyclictest:32352 [120]
     0.14%  ksoftirqd/0:7 [120] S ==> sshd:27636 [120]
     0.14%  kworker/u2:2:32364 [120] t ==> sshd:27636 [120]
     0.13%  .koworker:1019 [120] R ==> .koworker:1014 [120]
     0.13%  sshd:27636 [120] S ==> .koworker:1019 [120]
     0.13%  kworker/u2:1:27770 [120] R ==> cyclictest:32353 [0]
     0.12%  cyclictest:32353 [0] S ==> kworker/u2:1:27770 [120]
     0.11%  perf:32349 [120] R ==> cyclictest:32353 [0]
     0.10%  cyclictest:32353 [0] S ==> kworker/u2:2:32364 [120]
     0.10%  sshd:27636 [120] R ==> kworker/0:0:32281 [120]
     0.10%  kworker/u2:2:32364 [120] R ==> cyclictest:32353 [0]
     0.10%  cyclictest:32352 [120] R ==> kworker/0:0:32281 [120]
     0.10%  cyclictest:32353 [0] S ==> perf:32349 [120]
     0.08%  wicd:984 [120] R ==> cyclictest:32353 [0]
     0.08%  cyclictest:32353 [0] S ==> wicd:984 [120]
     0.07%  kworker/0:0:32281 [120] t ==> sshd:27636 [120]
     0.07%  .koworker:1016 [120] R ==> ksoftirqd/0:7 [120]
     0.07%  .koworker:1019 [120] R ==> ksoftirqd/0:7 [120]
