,Average delay ms,Maximum delay at,Maximum delay ms,Runtime ms,Switches,Task
0,:3.575,76649.042871,:6.653,0.000,3,rs:mainQ:Reg:626
1,:1.840,76656.096545,:8.074,0.000,228,wicd:984
2,:1.769,76669.871088,:5.690,0.000,6,sh:32315
3,:1.502,76669.857208,:6.650,0.000,21,cron:(2)
4,:1.134,76670.076561,:2.105,0.000,38,ps:32319
5,:1.070,76651.063446,:3.178,0.000,154,ifconfig:(12)
6,:0.921,76706.016479,:3.351,0.000,133,wicd-monitor:990
7,:0.698,76648.956299,:3.945,0.000,6,perf:32302
8,:0.511,76676.821597,:2.135,0.000,24,systemd-journal:118
9,:0.478,76706.015922,:20.750,0.000,2567,sshd:(11)
10,:0.139,76649.011022,:11.750,0.000,64306,.koworker:(6)
11,:0.089,76655.584652,:0.188,0.000,9,kworker/0:0:32281
12,:0.075,76691.015564,:1.130,0.000,78,dbus-daemon:518
13,:0.068,76674.830026,:0.584,0.000,27,avahi-daemon:500
14,:0.051,76670.136378,:0.112,0.000,3,systemd:1
15,:0.036,76653.216691,:0.245,0.000,351,kworker/u2:1:27770
16,:0.032,76681.508510,:0.069,0.000,5,mmcqd/1:89
17,:0.027,76656.073507,:0.057,0.000,94,ksoftirqd/0:7
18,:0.025,76649.048166,:5.353,0.000,11982,cyclictest:(2)
19,:0.018,76681.895502,:0.036,0.000,2,jbd2/mmcblk1p2-:97
20,:0.000,0.000000,:0.000,0.000,1,rsyslogd:627
21,:0.000,0.000000,:0.000,0.000,1,ptp0:1120
22,:0.000,0.000000,:0.000,0.000,1,kworker/u2:0:32178
23,:0.000,0.000000,:0.000,0.000,1,kworker/0:2:25061
24,:0.000,0.000000,:0.000,0.000,1,kworker/0:1H:96
25,:0.000,0.000000,:0.000,0.000,1,irq/31-44e0b000:90
26,:0.000,0.000000,:0.000,0.000,1,apache2:808
