,calls,errors,seconds,syscall,time,usecs/call
0,7,1,1.743225,futex,35.25,249032
1,4,0,1.615384,gettimeofday,32.67,403846
2,2,0,1.583251,clock_nanosleep,32.02,791626
3,27,0,0.001182,write,0.02,44
4,12,0,0.000293,read,0.01,24
5,6,0,0.000286,open,0.01,48
6,3,0,0.000253,clone,0.01,84
7,2,0,0.000190,munmap,0.00,95
8,10,0,0.000189,mprotect,0.00,19
9,16,0,0.000182,mmap2,0.00,11
10,6,0,0.000123,close,0.00,21
11,4,0,0.000085,sched_setscheduler,0.00,21
12,6,0,0.000082,fstat64,0.00,14
13,7,0,0.000071,sched_get_priority_min,0.00,10
14,6,0,0.000059,sched_get_priority_max,0.00,10
15,3,0,0.000046,brk,0.00,15
16,1,0,0.000043,_llseek,0.00,43
17,3,0,0.000036,sched_setaffinity,0.00,12
18,2,0,0.000025,rt_sigprocmask,0.00,13
19,2,0,0.000019,rt_sigaction,0.00,10
20,1,0,0.000014,sched_getaffinity,0.00,14
21,1,0,0.000010,getrlimit,0.00,10
22,1,0,0.000009,set_tid_address,0.00,9
23,1,0,0.000009,set_robust_list,0.00,9
24,1,0,0.000000,execve,0.00,0
25,6,0,0.000000,lseek,0.00,0
26,5,5,0.000000,access,0.00,0
27,1,0,0.000000,uname,0.00,0
