,Overhead,Preempted process,Preempted process id,Preempted process priority,Preempting process,Preempting process id,Preempting process priority,Scheduled status
0,12.38%,cyclictest,32204,120,kworker/u2,1,120,R
1,11.65%,.koworker,1019,120,cyclictest,32205,0,R
2,11.63%,.koworker,1016,120,cyclictest,32205,0,R
3,10.96%,cyclictest,32205,0,.koworker,1019,120,S
4,10.94%,cyclictest,32205,0,.koworker,1016,120,S
5,9.71%,kworker/u2,1,120,cyclictest,32204,120,t
6,2.44%,cyclictest,32204,120,sshd,27636,120,S
7,2.28%,kworker/u2,1,120,ksoftirqd/0,7,120,t
8,2.26%,ksoftirqd/0,7,120,cyclictest,32204,120,S
9,1.89%,sshd,27636,120,.koworker,1014,120,S
10,1.38%,cyclictest,32205,0,ksoftirqd/0,7,120,S
11,1.26%,.koworker,1014,120,.koworker,1019,120,S
12,1.26%,.koworker,1014,120,.koworker,1016,120,S
13,1.20%,.koworker,1019,120,kworker/0,1,120,R
14,1.19%,.koworker,1016,120,kworker/0,1,120,R
15,1.07%,kworker/0,1,120,.koworker,1016,120,t
16,1.07%,cyclictest,32205,0,cyclictest,32204,120,S
17,1.06%,kworker/0,1,120,.koworker,1019,120,t
18,1.05%,.koworker,1016,120,cyclictest,32204,120,R
19,1.05%,.koworker,1019,120,cyclictest,32204,120,R
20,0.89%,cyclictest,32204,120,cyclictest,32205,0,R
21,0.88%,sshd,27636,120,cyclictest,32205,0,R
22,0.84%,cyclictest,32205,0,sshd,27636,120,S
23,0.57%,ksoftirqd/0,7,120,.koworker,1019,120,S
24,0.54%,ksoftirqd/0,7,120,.koworker,1016,120,S
25,0.45%,sshd,27636,120,cyclictest,32204,120,S
26,0.36%,kworker/u2,1,120,sshd,27636,120,t
27,0.27%,cyclictest,32205,0,.koworker,1014,120,S
28,0.25%,.koworker,1019,120,.koworker,1014,120,R
29,0.24%,kworker/u2,1,120,cyclictest,32205,0,R
30,0.24%,cyclictest,32205,0,kworker/u2,1,120,S
31,0.22%,sshd,27636,120,.koworker,1019,120,S
32,0.20%,.koworker,1016,120,.koworker,1014,120,R
33,0.19%,kworker/0,1,120,ksoftirqd/0,7,120,t
34,0.19%,ksoftirqd/0,7,120,sshd,27636,120,S
35,0.17%,sshd,27636,120,.koworker,1016,120,S
36,0.17%,.koworker,1014,120,cyclictest,32205,0,R
37,0.17%,sshd,19316,120,cyclictest,32205,0,R
38,0.14%,cyclictest,32205,0,sshd,19316,120,S
39,0.14%,kworker/0,1,120,cyclictest,32204,120,t
40,0.12%,ksoftirqd/0,7,120,kworker/u2,1,120,S
41,0.12%,perf,32202,120,cyclictest,32205,0,R
42,0.12%,sshd,27636,120,kworker/0,1,120,R
43,0.11%,cyclictest,32205,0,perf,32202,120,S
44,0.10%,kworker/0,1,120,sshd,27636,120,t
45,0.09%,.koworker,1019,120,ksoftirqd/0,7,120,R
46,0.09%,ksoftirqd/0,7,120,sshd,19316,120,S
47,0.08%,cyclictest,32204,120,kworker/0,1,120,R
48,0.08%,wicd,984,120,cyclictest,32205,0,R
49,0.07%,cyclictest,32205,0,wicd,984,120,S
50,0.07%,.koworker,1016,120,ksoftirqd/0,7,120,R
51,0.06%,ksoftirqd/0,7,120,cyclictest,32205,0,R
52,0.06%,systemd-journal,118,120,cyclictest,32205,0,R
53,0.06%,sshd,32228,120,cyclictest,32205,0,R
54,0.05%,kworker/u2,1,120,.koworker,1016,120,t
55,0.05%,sshd,32233,120,cyclictest,32205,0,R
56,0.05%,sshd,32223,120,cyclictest,32205,0,R
57,0.05%,sshd,32209,120,cyclictest,32205,0,R
58,0.05%,sshd,32230,120,cyclictest,32205,0,R
59,0.05%,cyclictest,32205,0,sshd,32223,120,S
60,0.05%,sshd,32226,120,cyclictest,32205,0,R
61,0.05%,cyclictest,32205,0,wicd-monitor,990,120,S
62,0.05%,kworker/u2,1,120,.koworker,1019,120,t
