,child-process,cpu#,hardirq-softirq,irqs-off,need-resched,need-resched_lazy,parent-process,preempt-depth,task-pid,timestamp
0,get_futex_key,000,null,null,null,null,futex_wake,null,pi_stress-1198,638.897776
1,get_futex_key_refs,000,null,null,null,null,get_futex_key,null,pi_stress-1198,638.897779
2,hash_futex,000,null,null,null,null,futex_wake,null,pi_stress-1198,638.897782
3,mark_wake_futex,000,null,null,null,null,futex_wake,null,pi_stress-1198,638.897785
4,__wake_q_add,000,null,null,null,null,mark_wake_futex,null,pi_stress-1198,638.897788
5,__unqueue_futex,000,null,null,null,null,mark_wake_futex,null,pi_stress-1198,638.897791
6,mark_wake_futex,000,null,null,null,null,futex_wake,null,pi_stress-1198,638.897795
7,__wake_q_add,000,null,null,null,null,mark_wake_futex,null,pi_stress-1198,638.897797
8,__unqueue_futex,000,null,null,null,null,mark_wake_futex,null,pi_stress-1198,638.8978
9,__wake_up_q,000,null,null,null,null,futex_wake,null,pi_stress-1198,638.897803
10,try_to_wake_up,000,null,null,null,null,__wake_up_q,null,pi_stress-1198,638.897807
11,update_rq_clock,000,null,d,null,null,try_to_wake_up,null,pi_stress-1198,638.89781
12,activate_task,000,null,d,null,null,try_to_wake_up,null,pi_stress-1198,638.897813
13,enqueue_task_rt,000,null,d,null,null,activate_task,null,pi_stress-1198,638.897816
14,dequeue_rt_stack,000,null,d,null,null,enqueue_task_rt,null,pi_stress-1198,638.897819
15,dequeue_top_rt_rq.constprop.9,000,null,d,null,null,dequeue_rt_stack,null,pi_stress-1198,638.897822
16,enqueue_top_rt_rq.constprop.11,000,null,d,null,null,enqueue_task_rt,null,pi_stress-1198,638.897825
17,check_preempt_curr,000,null,d,null,null,try_to_wake_up,null,pi_stress-1198,638.897829
18,check_preempt_curr_rt,000,null,d,null,null,check_preempt_curr,null,pi_stress-1198,638.897831
19,resched_curr,000,null,d,null,null,check_preempt_curr_rt,null,pi_stress-1198,638.897834
20,ttwu_do_wakeup.part.18,000,null,d,n,null,try_to_wake_up,null,pi_stress-1198,638.897838
21,try_to_wake_up,000,null,null,n,null,__wake_up_q,null,pi_stress-1198,638.897842
22,update_rq_clock,000,null,d,n,null,try_to_wake_up,null,pi_stress-1198,638.897845
23,activate_task,000,null,d,n,null,try_to_wake_up,null,pi_stress-1198,638.897849
24,enqueue_task_rt,000,null,d,n,null,activate_task,null,pi_stress-1198,638.897852
25,dequeue_rt_stack,000,null,d,n,null,enqueue_task_rt,null,pi_stress-1198,638.897854
26,dequeue_top_rt_rq.constprop.9,000,null,d,n,null,dequeue_rt_stack,null,pi_stress-1198,638.897857
27,enqueue_top_rt_rq.constprop.11,000,null,d,n,null,enqueue_task_rt,null,pi_stress-1198,638.897861
28,check_preempt_curr,000,null,d,n,null,try_to_wake_up,null,pi_stress-1198,638.897864
29,check_preempt_curr_rt,000,null,d,n,null,check_preempt_curr,null,pi_stress-1198,638.897866
30,resched_curr,000,null,d,n,null,check_preempt_curr_rt,null,pi_stress-1198,638.897869
31,ttwu_do_wakeup.part.18,000,null,d,n,null,try_to_wake_up,null,pi_stress-1198,638.897872
32,drop_futex_key_refs,000,null,null,n,null,futex_wake,null,pi_stress-1198,638.897876
33,do_work_pending,000,null,d,n,null,slow_work_pending,null,pi_stress-1198,638.89788
34,schedule,000,null,d,n,null,do_work_pending,null,pi_stress-1198,638.897882
35,rcu_sched_qs,000,null,d,n,null,__schedule,null,pi_stress-1198,638.897886
36,update_rq_clock,000,null,d,n,null,__schedule,null,pi_stress-1198,638.897889
37,pick_next_task_dl,000,null,d,n,null,__schedule,null,pi_stress-1198,638.897892
38,pick_next_task_rt,000,null,d,n,null,__schedule,null,pi_stress-1198,638.897895
39,update_curr_rt,000,null,d,n,null,pick_next_task_rt,null,pi_stress-1198,638.897898
40,dbs_update_util_handler,000,null,d,n,null,update_curr_rt,null,pi_stress-1198,638.897901
41,cpuacct_charge,000,null,d,n,null,update_curr_rt,null,pi_stress-1198,638.897904
42,put_prev_task_rt,000,null,d,n,null,pick_next_task_rt,null,pi_stress-1198,638.897908
43,update_curr_rt,000,null,d,n,null,put_prev_task_rt,null,pi_stress-1198,638.897911
44,atomic_notifier_call_chain,000,null,d,null,null,__switch_to,null,pi_stress-1198,638.897915
45,notifier_call_chain,000,null,d,null,null,atomic_notifier_call_chain,null,pi_stress-1198,638.897918
46,vfp_notifier,000,null,d,null,null,notifier_call_chain,null,pi_stress-1198,638.897921
47,thumbee_notifier,000,null,d,null,null,notifier_call_chain,null,pi_stress-1198,638.897924
48,finish_task_switch,000,null,d,null,null,__schedule,null,pi_stress-1200,638.897928
49,_cond_resched,000,null,null,null,null,futex_wait_queue_me,null,pi_stress-1200,638.897931
50,drop_futex_key_refs,000,null,null,null,null,futex_wait,null,pi_stress-1200,638.897934
51,SyS_futex,000,null,null,null,null,ret_fast_syscall,null,pi_stress-1200,638.89794
