,parameter,process_name,process_time
0,0,brk,0.001850
1,3,close,0.000156
2,3,close,0.000297
3,3,close,0.000206
4,3,close,0.000224
5,0xb6fcf068,set_tid_address,0.000232
6,3,close,0.000270
7,SCHED_FIFO,sched_get_priority_min,0.000306
8,0,brk,0.000471
9,0xc28000,brk,0.000165
10,SCHED_FIFO,sched_get_priority_min,0.000187
11,SCHED_FIFO,sched_get_priority_max,0.000125
12,SCHED_FIFO,sched_get_priority_min,0.000150
13,SCHED_FIFO,sched_get_priority_max,0.000103
14,SCHED_FIFO,sched_get_priority_min,0.000185
15,SCHED_FIFO,sched_get_priority_max,0.000115
16,SCHED_FIFO,sched_get_priority_min,0.000127
17,SCHED_FIFO,sched_get_priority_max,0.000099
18,SCHED_FIFO,sched_get_priority_min,0.000137
19,SCHED_FIFO,sched_get_priority_max,0.000104
20,SCHED_FIFO,sched_get_priority_min,0.000116
21,SCHED_FIFO,sched_get_priority_max,0.000095
22,3,close,0.000159
23,0,exit_group,0.000236
