,calls,errors,seconds,syscall,time,usecs/call
0,7,1,2.576845,futex,43.67,368121
1,4,0,1.664062,gettimeofday,28.20,416016
2,2,0,1.656250,clock_nanosleep,28.07,828125
3,1,0,0.001692,execve,0.03,1692
4,27,0,0.001168,write,0.02,43
5,16,0,0.000360,mmap2,0.01,23
6,6,0,0.000198,close,0.00,33
7,12,0,0.000000,read,0.00,0
8,6,0,0.000000,open,0.00,0
9,6,0,0.000000,lseek,0.00,0
10,5,5,0.000000,access,0.00,0
11,3,0,0.000000,brk,0.00,0
12,2,0,0.000000,munmap,0.00,0
13,3,0,0.000000,clone,0.00,0
14,1,0,0.000000,uname,0.00,0
15,10,0,0.000000,mprotect,0.00,0
16,1,0,0.000000,_llseek,0.00,0
17,4,0,0.000000,sched_setscheduler,0.00,0
18,6,0,0.000000,sched_get_priority_max,0.00,0
19,7,0,0.000000,sched_get_priority_min,0.00,0
20,2,0,0.000000,rt_sigaction,0.00,0
21,2,0,0.000000,rt_sigprocmask,0.00,0
22,1,0,0.000000,getrlimit,0.00,0
23,6,0,0.000000,fstat64,0.00,0
24,3,0,0.000000,sched_setaffinity,0.00,0
25,1,0,0.000000,sched_getaffinity,0.00,0
26,1,0,0.000000,set_tid_address,0.00,0
27,1,0,0.000000,set_robust_list,0.00,0
