,parameter,process_name,process_time
0,0,brk,0.004115
1,3,close,0.000458
2,3,close,0.000672
3,3,close,0.000686
4,3,close,0.000584
5,0xb6f95068,set_tid_address,0.000583
6,3,close,0.000959
7,SCHED_FIFO,sched_get_priority_min,0.000945
8,0,brk,0.001432
9,0x37000,brk,0.000410
10,SCHED_FIFO,sched_get_priority_min,0.000540
11,SCHED_FIFO,sched_get_priority_max,0.000419
12,SCHED_FIFO,sched_get_priority_min,0.000400
13,SCHED_FIFO,sched_get_priority_max,0.000329
14,SCHED_FIFO,sched_get_priority_min,0.000573
15,SCHED_FIFO,sched_get_priority_max,0.000397
16,SCHED_FIFO,sched_get_priority_min,0.000394
17,SCHED_FIFO,sched_get_priority_max,0.000322
18,SCHED_FIFO,sched_get_priority_min,0.000468
19,SCHED_FIFO,sched_get_priority_max,0.000375
20,SCHED_FIFO,sched_get_priority_min,0.000398
21,SCHED_FIFO,sched_get_priority_max,0.000324
22,3,close,0.000145
23,0,exit_group,0.003898
