,child-process,cpu#,hardirq-softirq,irqs-off,need-resched,need-resched_lazy,parent-process,preempt-depth,task-pid,timestamp
0,preempt_count_add,000,null,d,n,null,mark_wakeup_next_waiter,2,pi_stress-2443,182903.319347
1,__wake_q_add,000,null,d,n,null,mark_wakeup_next_waiter,3,pi_stress-2443,182903.319348
2,preempt_count_sub,000,null,d,n,null,mark_wakeup_next_waiter,3,pi_stress-2443,182903.319349
3,preempt_count_sub,000,null,null,n,null,do_futex,2,pi_stress-2443,182903.31935
4,rt_mutex_postunlock,000,null,null,n,null,do_futex,1,pi_stress-2443,182903.319351
5,__wake_up_q,000,null,null,n,null,rt_mutex_postunlock,1,pi_stress-2443,182903.319352
6,try_to_wake_up,000,null,null,n,null,__wake_up_q,1,pi_stress-2443,182903.319354
7,preempt_count_add,000,null,d,n,null,try_to_wake_up,1,pi_stress-2443,182903.319355
8,preempt_count_add,000,null,d,n,null,try_to_wake_up,2,pi_stress-2443,182903.319356
9,update_rq_clock,000,null,d,n,null,try_to_wake_up,3,pi_stress-2443,182903.319357
10,activate_task,000,null,d,n,null,try_to_wake_up,3,pi_stress-2443,182903.319359
11,enqueue_task_rt,000,null,d,n,null,activate_task,3,pi_stress-2443,182903.31936
12,dequeue_rt_stack,000,null,d,n,null,enqueue_task_rt,3,pi_stress-2443,182903.319361
13,dequeue_top_rt_rq.constprop.9,000,null,d,n,null,dequeue_rt_stack,3,pi_stress-2443,182903.319362
14,preempt_count_add,000,null,d,n,null,enqueue_task_rt,3,pi_stress-2443,182903.319363
15,preempt_count_sub,000,null,d,n,null,enqueue_task_rt,4,pi_stress-2443,182903.319364
16,enqueue_top_rt_rq.constprop.11,000,null,d,n,null,enqueue_task_rt,3,pi_stress-2443,182903.319365
17,check_preempt_curr,000,null,d,n,null,try_to_wake_up,3,pi_stress-2443,182903.319366
18,check_preempt_curr_rt,000,null,d,n,null,check_preempt_curr,3,pi_stress-2443,182903.319367
19,resched_curr,000,null,d,n,null,check_preempt_curr_rt,3,pi_stress-2443,182903.319369
20,ttwu_do_wakeup.part.20,000,null,d,n,null,try_to_wake_up,3,pi_stress-2443,182903.31937
21,preempt_count_sub,000,null,d,n,null,try_to_wake_up,3,pi_stress-2443,182903.319371
22,preempt_count_sub,000,null,null,n,null,try_to_wake_up,2,pi_stress-2443,182903.319372
23,__wake_up_q,000,null,null,n,null,rt_mutex_postunlock,1,pi_stress-2443,182903.319373
24,preempt_count_sub,000,null,null,n,null,rt_mutex_postunlock,1,pi_stress-2443,182903.319375
25,rcu_note_context_switch,000,null,d,n,null,__schedule,1,pi_stress-2443,182903.319376
26,rcu_sched_qs,000,null,d,n,null,rcu_note_context_switch,1,pi_stress-2443,182903.319377
27,rcu_preempt_qs,000,null,d,n,null,rcu_note_context_switch,1,pi_stress-2443,182903.319378
28,preempt_count_add,000,null,d,n,null,__schedule,1,pi_stress-2443,182903.31938
29,update_rq_clock,000,null,d,n,null,__schedule,2,pi_stress-2443,182903.319381
30,pick_next_task_dl,000,null,d,n,null,__schedule,2,pi_stress-2443,182903.319382
31,pick_next_task_rt,000,null,d,n,null,__schedule,2,pi_stress-2443,182903.319383
32,update_curr_rt,000,null,d,n,null,pick_next_task_rt,2,pi_stress-2443,182903.319384
33,dbs_update_util_handler,000,null,d,n,null,update_curr_rt,2,pi_stress-2443,182903.319385
34,cpuacct_charge,000,null,d,n,null,update_curr_rt,2,pi_stress-2443,182903.319387
35,__rcu_read_lock,000,null,d,n,null,cpuacct_charge,2,pi_stress-2443,182903.319388
36,__rcu_read_unlock,000,null,d,n,null,cpuacct_charge,2,pi_stress-2443,182903.319389
37,preempt_count_add,000,null,d,n,null,update_curr_rt,2,pi_stress-2443,182903.31939
38,preempt_count_sub,000,null,d,n,null,update_curr_rt,3,pi_stress-2443,182903.319391
39,put_prev_task_rt,000,null,d,n,null,pick_next_task_rt,2,pi_stress-2443,182903.319392
40,update_curr_rt,000,null,d,n,null,put_prev_task_rt,2,pi_stress-2443,182903.319393
41,switch_kmaps,000,null,d,null,null,__schedule,2,pi_stress-2443,182903.319396
42,atomic_notifier_call_chain,000,null,d,null,null,__switch_to,2,pi_stress-2443,182903.319397
43,__rcu_read_lock,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2443,182903.319398
44,notifier_call_chain,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2443,182903.319399
45,vfp_notifier,000,null,d,null,null,notifier_call_chain,2,pi_stress-2443,182903.3194
46,thumbee_notifier,000,null,d,null,null,notifier_call_chain,2,pi_stress-2443,182903.319401
47,__rcu_read_unlock,000,null,d,null,null,atomic_notifier_call_chain,2,pi_stress-2443,182903.319403
48,finish_task_switch,000,null,d,null,null,__schedule,2,pi_stress-2445,182903.319404
49,preempt_count_sub,000,null,null,null,null,finish_task_switch,2,pi_stress-2445,182903.319405
50,preempt_count_sub,000,null,null,null,null,schedule,1,pi_stress-2445,182903.319406
51,preempt_count_add,000,null,d,null,null,__rt_mutex_slowlock,null,pi_stress-2445,182903.319408
52,__try_to_take_rt_mutex,000,null,d,null,null,__rt_mutex_slowlock,1,pi_stress-2445,182903.319409
53,preempt_count_add,000,null,d,null,null,__try_to_take_rt_mutex,1,pi_stress-2445,182903.31941
54,preempt_count_sub,000,null,d,null,null,__try_to_take_rt_mutex,2,pi_stress-2445,182903.319411
55,fixup_rt_mutex_waiters.part.0,000,null,d,null,null,rt_mutex_wait_proxy_lock,1,pi_stress-2445,182903.319413
56,preempt_count_sub,000,null,null,null,null,rt_mutex_wait_proxy_lock,1,pi_stress-2445,182903.319414
57,rt_spin_lock,000,null,null,null,null,futex_lock_pi,null,pi_stress-2445,182903.319415
58,fixup_owner,000,null,null,null,null,futex_lock_pi,null,pi_stress-2445,182903.319417
59,unqueue_me_pi,000,null,null,null,null,futex_lock_pi,null,pi_stress-2445,182903.319418
60,__unqueue_futex,000,null,null,null,null,unqueue_me_pi,null,pi_stress-2445,182903.319419
61,put_pi_state,000,null,null,null,null,unqueue_me_pi,null,pi_stress-2445,182903.31942
62,rt_spin_unlock,000,null,null,null,null,unqueue_me_pi,null,pi_stress-2445,182903.319421
63,drop_futex_key_refs,000,null,null,null,null,futex_lock_pi,null,pi_stress-2445,182903.319423
64,SyS_futex,000,null,null,null,null,ret_fast_syscall,null,pi_stress-2445,182903.319425
65,do_futex,000,null,null,null,null,SyS_futex,null,pi_stress-2445,182903.319426
66,__task_pid_nr_ns,000,null,null,null,null,do_futex,null,pi_stress-2445,182903.319427
67,__rcu_read_lock,000,null,null,null,null,__task_pid_nr_ns,null,pi_stress-2445,182903.319429
68,__rcu_read_unlock,000,null,null,null,null,__task_pid_nr_ns,null,pi_stress-2445,182903.31943
69,get_futex_key,000,null,null,null,null,do_futex,null,pi_stress-2445,182903.319431
70,get_futex_key_refs,000,null,null,null,null,get_futex_key,null,pi_stress-2445,182903.319432
71,hash_futex,000,null,null,null,null,do_futex,null,pi_stress-2445,182903.319433
72,rt_spin_lock,000,null,null,null,null,do_futex,null,pi_stress-2445,182903.319434
73,futex_top_waiter,000,null,null,null,null,do_futex,null,pi_stress-2445,182903.319435
74,cmpxchg_futex_value_locked,000,null,null,null,null,do_futex,null,pi_stress-2445,182903.319437
75,preempt_count_add,000,null,null,null,null,cmpxchg_futex_value_locked,null,pi_stress-2445,182903.319438
76,preempt_count_sub,000,null,null,null,null,cmpxchg_futex_value_locked,1,pi_stress-2445,182903.319439
77,rt_spin_unlock,000,null,null,null,null,do_futex,null,pi_stress-2445,182903.319441
78,drop_futex_key_refs,000,null,null,null,null,do_futex,null,pi_stress-2445,182903.319442
79,SyS_futex,000,null,null,null,null,ret_fast_syscall,null,pi_stress-2445,182903.319444
80,do_futex,000,null,null,null,null,SyS_futex,null,pi_stress-2445,182903.319445
81,futex_wait,000,null,null,null,null,do_futex,null,pi_stress-2445,182903.319446
82,futex_wait_setup,000,null,null,null,null,futex_wait,null,pi_stress-2445,182903.319447
83,get_futex_key,000,null,null,null,null,futex_wait_setup,null,pi_stress-2445,182903.319449
84,get_futex_key_refs,000,null,null,null,null,get_futex_key,null,pi_stress-2445,182903.31945
85,hash_futex,000,null,null,null,null,futex_wait_setup,null,pi_stress-2445,182903.319451
86,rt_spin_lock,000,null,null,null,null,futex_wait_setup,null,pi_stress-2445,182903.319452
87,get_futex_value_locked,000,null,null,null,null,futex_wait_setup,null,pi_stress-2445,182903.319453
88,futex_wait_queue_me,000,null,null,null,null,futex_wait,null,pi_stress-2445,182903.319454
89,rt_spin_unlock,000,null,null,null,null,futex_wait_queue_me,null,pi_stress-2445,182903.319455
90,schedule,000,null,null,null,null,futex_wait_queue_me,null,pi_stress-2445,182903.319457
91,preempt_count_add,000,null,null,null,null,schedule,null,pi_stress-2445,182903.319458
92,rcu_note_context_switch,000,null,d,null,null,__schedule,1,pi_stress-2445,182903.319459
