pi_stress --duration=5 
04-05-2018 00:23:30

# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   0.541 us    |                      } /* page_remove_rmap */
 0)   0.500 us    |                      _vm_normal_page();
 0)   0.542 us    |                      page_remove_rmap();
 0)   0.459 us    |                      _vm_normal_page();
 0)   0.500 us    |                      page_remove_rmap();
 0)   0.500 us    |                      _vm_normal_page();
 0)   0.500 us    |                      page_remove_rmap();
 0)   0.458 us    |                      rt_spin_unlock();
 0)   0.500 us    |                      __kunmap_atomic();
 0) + 43.709 us   |                    } /* unmap_page_range */
 0) + 47.042 us   |                  } /* unmap_single_vma */
 0)               |                  unmap_single_vma() {
 0)   0.458 us    |                    uprobe_munmap();
 0)               |                    unmap_page_range() {
 0)               |                      kmap_atomic() {
 0)   0.459 us    |                        page_address();
 0)   3.250 us    |                      }
 0)   0.459 us    |                      rt_spin_lock();
 0)   0.500 us    |                      _vm_normal_page();
 0)   0.500 us    |                      page_remove_rmap();
 0)   0.459 us    |                      rt_spin_unlock();
 0)   0.500 us    |                      __kunmap_atomic();
 0) + 22.417 us   |                    }
 0) + 28.958 us   |                  }
 0)               |                  unmap_single_vma() {
 0)   0.458 us    |                    uprobe_munmap();
 0)               |                    unmap_page_range() {
 0)               |                      kmap_atomic() {
 0)   0.500 us    |                        page_address();
 0)   3.541 us    |                      }
 0)   0.500 us    |                      rt_spin_lock();
 0)   0.458 us    |                      _vm_normal_page();
 0)   0.500 us    |                      page_remove_rmap();
 0)   0.500 us    |                      rt_spin_unlock();
 0)   0.500 us    |                      __kunmap_atomic();
 0) + 22.584 us   |                    }
 0) + 29.417 us   |                  }
 0)               |                  unmap_single_vma() {
 0)               |                    unmap_page_range() {
 0)               |                      kmap_atomic() {
 0)   0.500 us    |                        page_address();
 0)   3.709 us    |                      }
 0)   0.500 us    |                      rt_spin_lock();
 0)   0.500 us    |                      _vm_normal_page();
 0)   0.500 us    |                      page_remove_rmap();
 0)   0.500 us    |                      _vm_normal_page();
 0)   0.500 us    |                      page_remove_rmap();
 0)   0.500 us    |                      _vm_normal_page();
 0)   0.500 us    |                      page_remove_rmap();
 0)   0.458 us    |                      _vm_normal_page();
 0)   0.500 us    |                      page_remove_rmap();
 0)   0.500 us    |                      rt_spin_unlock();
 0)   0.500 us    |                      __kunmap_atomic();
 0) + 44.000 us   |                    }
 0) + 47.416 us   |                  }
 0)               |                  unmap_single_vma() {
 0)               |                    unmap_page_range() {
 0)               |                      kmap_atomic() {
 0)   0.458 us    |                        page_address();
 0)   3.750 us    |                      }
