,child-process,cpu#,hardirq-softirq,irqs-off,need-resched,need-resched_lazy,parent-process,preempt-depth,task-pid,timestamp
0,get_futex_key_refs,000,null,null,null,null,get_futex_key,null,pi_stress-2427,182888.899292
1,hash_futex,000,null,null,null,null,futex_wait_setup,null,pi_stress-2427,182888.899293
2,rt_spin_lock,000,null,null,null,null,futex_wait_setup,null,pi_stress-2427,182888.899294
3,get_futex_value_locked,000,null,null,null,null,futex_wait_setup,null,pi_stress-2427,182888.899296
4,futex_wait_queue_me,000,null,null,null,null,futex_wait,null,pi_stress-2427,182888.899297
5,rt_spin_unlock,000,null,null,null,null,futex_wait_queue_me,null,pi_stress-2427,182888.899298
6,schedule,000,null,null,null,null,futex_wait_queue_me,null,pi_stress-2427,182888.899299
7,preempt_count_add,000,null,null,null,null,schedule,null,pi_stress-2427,182888.8993
8,rcu_note_context_switch,000,null,d,null,null,__schedule,1,pi_stress-2427,182888.899302
9,rcu_sched_qs,000,null,d,null,null,rcu_note_context_switch,1,pi_stress-2427,182888.899303
10,rcu_preempt_qs,000,null,d,null,null,rcu_note_context_switch,1,pi_stress-2427,182888.899304
11,preempt_count_add,000,null,d,null,null,__schedule,1,pi_stress-2427,182888.899305
12,update_rq_clock,000,null,d,null,null,__schedule,2,pi_stress-2427,182888.899307
13,deactivate_task,000,null,d,null,null,__schedule,2,pi_stress-2427,182888.899308
14,dequeue_task_rt,000,null,d,null,null,deactivate_task,2,pi_stress-2427,182888.899309
15,update_curr_rt,000,null,d,null,null,dequeue_task_rt,2,pi_stress-2427,182888.89931
16,dbs_update_util_handler,000,null,d,null,null,update_curr_rt,2,pi_stress-2427,182888.899311
17,cpuacct_charge,000,null,d,null,null,update_curr_rt,2,pi_stress-2427,182888.899313
18,__rcu_read_lock,000,null,d,null,null,cpuacct_charge,2,pi_stress-2427,182888.899313
19,__rcu_read_unlock,000,null,d,null,null,cpuacct_charge,2,pi_stress-2427,182888.899315
20,preempt_count_add,000,null,d,null,null,update_curr_rt,2,pi_stress-2427,182888.899316
21,preempt_count_sub,000,null,d,null,null,update_curr_rt,3,pi_stress-2427,182888.899317
