,parameter,process_name,process_time
0,0,brk,0.004299
1,3,close,0.000377
2,3,close,0.000561
3,3,close,0.000481
4,3,close,0.000461
5,0xb6f0a068,set_tid_address,0.000457
6,3,close,0.000672
7,SCHED_FIFO,sched_get_priority_min,0.000557
8,0,brk,0.000621
9,0x14d6000,brk,0.000335
10,SCHED_FIFO,sched_get_priority_min,0.000436
11,SCHED_FIFO,sched_get_priority_max,0.000303
12,SCHED_FIFO,sched_get_priority_min,0.000332
13,SCHED_FIFO,sched_get_priority_max,0.000266
14,SCHED_FIFO,sched_get_priority_min,0.000407
15,SCHED_FIFO,sched_get_priority_max,0.000290
16,SCHED_FIFO,sched_get_priority_min,0.000318
17,SCHED_FIFO,sched_get_priority_max,0.000263
18,SCHED_FIFO,sched_get_priority_min,0.000355
19,SCHED_FIFO,sched_get_priority_max,0.000287
20,SCHED_FIFO,sched_get_priority_min,0.000322
21,SCHED_FIFO,sched_get_priority_max,0.000266
22,3,close,0.000539
23,0,exit_group,0.003381
