,calls,errors,seconds,syscall,time,usecs/call
0,7,1,2.119038,futex,36.68,302720
1,2,0,1.830730,clock_nanosleep,31.69,915365
2,4,0,1.815418,gettimeofday,31.42,453855
3,1,0,0.002076,execve,0.04,2076
4,16,0,0.001818,mmap2,0.03,114
5,27,0,0.001774,write,0.03,66
6,12,0,0.001283,read,0.02,107
7,6,0,0.001042,open,0.02,174
8,10,0,0.000959,mprotect,0.02,96
9,5,5,0.000479,access,0.01,96
10,6,0,0.000466,lseek,0.01,78
11,3,0,0.000447,clone,0.01,149
12,6,0,0.000429,close,0.01,72
13,6,0,0.000334,fstat64,0.01,56
14,2,0,0.000322,munmap,0.01,161
15,4,0,0.000248,sched_setscheduler,0.00,62
16,1,0,0.000151,set_tid_address,0.00,151
17,3,0,0.000130,brk,0.00,43
18,2,0,0.000124,rt_sigaction,0.00,62
19,7,0,0.000113,sched_get_priority_min,0.00,16
20,2,0,0.000075,rt_sigprocmask,0.00,38
21,1,0,0.000064,uname,0.00,64
22,1,0,0.000064,getrlimit,0.00,64
23,1,0,0.000058,set_robust_list,0.00,58
24,6,0,0.000048,sched_get_priority_max,0.00,8
25,3,0,0.000043,sched_setaffinity,0.00,14
26,1,0,0.000018,sched_getaffinity,0.00,18
27,1,0,0.000017,_llseek,0.00,17
