,calls,errors,seconds,syscall,time,usecs/call
0,7,1,2.704819,futex,42.14,386403
1,4,0,1.854145,gettimeofday,28.89,463536
2,2,0,1.846608,clock_nanosleep,28.77,923304
3,1,0,0.002228,execve,0.03,2228
4,16,0,0.002035,mmap2,0.03,127
5,27,0,0.001734,write,0.03,64
6,12,0,0.001260,read,0.02,105
7,6,0,0.001250,open,0.02,208
8,10,0,0.001079,mprotect,0.02,108
9,5,5,0.000536,access,0.01,107
10,3,0,0.000534,clone,0.01,178
11,6,0,0.000458,lseek,0.01,76
12,6,0,0.000447,close,0.01,75
13,6,0,0.000358,fstat64,0.01,60
14,2,0,0.000307,munmap,0.00,154
15,4,0,0.000194,sched_setscheduler,0.00,49
16,2,0,0.000170,rt_sigaction,0.00,85
17,7,0,0.000159,sched_get_priority_min,0.00,23
18,3,0,0.000154,brk,0.00,51
19,1,0,0.000105,getrlimit,0.00,105
20,1,0,0.000097,set_tid_address,0.00,97
21,2,0,0.000081,rt_sigprocmask,0.00,41
22,6,0,0.000067,sched_get_priority_max,0.00,11
23,1,0,0.000063,uname,0.00,63
24,1,0,0.000060,set_robust_list,0.00,60
25,3,0,0.000051,sched_setaffinity,0.00,17
26,1,0,0.000018,sched_getaffinity,0.00,18
27,1,0,0.000015,_llseek,0.00,15
