,calls,errors,seconds,syscall,time,usecs/call
0,23462,1,5.700817,futex,72.15,243
1,7,0,2.183015,clock_nanosleep,27.63,311859
2,37,0,0.003159,write,0.04,85
3,1,0,0.002119,execve,0.03,2119
4,16,0,0.002118,mmap2,0.03,132
5,12,0,0.001557,read,0.02,130
6,10,0,0.001278,mprotect,0.02,128
7,6,0,0.001160,open,0.01,193
8,5,5,0.000607,access,0.01,121
9,6,0,0.000591,close,0.01,99
10,6,0,0.000540,lseek,0.01,90
11,3,0,0.000523,clone,0.01,174
12,6,0,0.000491,fstat64,0.01,82
13,9,0,0.000420,gettimeofday,0.01,47
14,2,0,0.000386,munmap,0.00,193
15,3,0,0.000316,brk,0.00,105
16,7,0,0.000314,sched_get_priority_min,0.00,45
17,4,0,0.000281,sched_setscheduler,0.00,70
18,5,0,0.000248,rt_sigprocmask,0.00,50
19,6,0,0.000216,sched_get_priority_max,0.00,36
20,4,0,0.000195,set_robust_list,0.00,49
21,5,0,0.000193,rt_sigpending,0.00,39
22,2,0,0.000177,rt_sigaction,0.00,89
23,4,0,0.000165,sched_getaffinity,0.00,41
24,3,0,0.000129,sched_setaffinity,0.00,43
25,1,0,0.000092,uname,0.00,92
26,1,0,0.000090,getrlimit,0.00,90
27,1,0,0.000089,set_tid_address,0.00,89
28,1,0,0.000045,_llseek,0.00,45
